code-appsscript-1 | machine | 첫 학생 · 밤 배치(aiStudioBatch_ | 학생이 매일 읽는 AI 글에 「어느 AI가 썼나」 도장이 없다
critic-8 | machine | 첫 실학생 명부 입력(12월 파일럿 코호트 ·  | 학생 연락처·수강료가 아직 공용 명부 시트에 산다 — 실학생 값이 한 번 들어가면 그 시트를 본 사람은 못 되돌린다
critic-9 | machine | 첫 실학생이 명부에 앉는 날 «전» — 그리고  | 가짜 학생 여덟 명이 남은 채 첫 코호트가 들어오면, 그 사이 나간 시상·월보·이야기책이 오염된 채 발행된다
critic-10 | machine | 첫 진로 관측 한 줄(재학 중 대학 지원 포함  | 졸업생 진로 원장 — 「그 일이 언제 일어났나」가 진짜 값인지 폼 제출일이 대신 들어간 것인지 안 갈린다
critic-11 | machine | 첫 나침반 세션(첫 코호트의 첫 시즌 첫 주 · | 시즌에 한 번뿐인 나침반 답을 내고도 「저장됐다」를 학생이 못 알아본다 — 안 냈다고 여기고 나가면 그 시즌 답은 없다
critic-12 | yuho | 체험 2주 중 2027-02-20(토) — 주말 | 주말반이 개원 첫날 처음 돈다 — 좌석 셋 중 하나가 리허설 없이 첫 경험을 맞는다
critic-13 | yuho | 첫 촬영(아직 0편 · 유호님이 첫 프레임을 누 | 첫 열 편이 부른 관객이 이십 년 관객이다 — 올린 영상은 내려도 남는다
decisions-1 | machine | 첫 음성 수집 — 학생의 첫 녹음이 목소리 폼으 | 발음 규격 판 둘이 아직 라이브에 안 나갔다 — 첫 녹음이 오기 전에 내야 한다
decisions-2 | machine | 파일럿 첫 수업 — 개원 전 유일한 실전 리허설 | 개원 준비 폼 다섯이 아직 «만들어지지» 않았다 — 출석·출퇴근으로 들어올 데이터가 지금 0
decisions-3 | machine | 첫 수업 — 파일럿 첫 서클 20분 | 학생이 «자기 입으로 말한 목표»를 받는 자리가 아예 없다
decisions-4 | machine | 첫 졸업 | 졸업생 근황을 담을 자리(outcome_log)와 선배 카드가 아직 없다
decisions-5 | machine | 첫 졸업 기수의 «마지막 시즌» — 졸업식이 아 | 졸업 직전 학생에게 연락 주소를 «한 번 권하는» 자리
decisions-6 | person | 첫 수업 · 그 앞의 잠금은 11월 강사 온라인 | 발음 여섯 축의 «수업 시작 1분 활동» 절차가 강사 손에 아직 안 쥐어졌다
decisions-7 | machine | 첫 송출 | 라디오 「첫 송출 뒤에는 못 고친다」 여섯 중 둘이 아직 열려 있다
decisions-8 | machine | 첫 학생 이탈 — 첫 학생이 등록한 뒤 아무 날 | 학생이 나간 그날의 사유·날짜 칸이 라이브 시트에 실제로 섰는지 안 재봤다
design-a-1 | machine | 첫 음성 수집 — 첫 학생의 첫 낭독 녹음이 v | 숙제 카드가 「오늘 이 낱말을 넣어서 말해요」를 학생에게 안 알린다 — 그런데 기록은 「시켰다」고 적힌다
design-a-2 | person | 첫 동의 접수 — 사전등록 첫 학생이 크루카드/ | 몽골어 동의문 두 칸이 비어 있다 — 첫 동의를 한국어판으로 받으면 그 동의는 영영 한국어판 동의다
design-a-3 | machine | 첫 학생 관찰 — 개원(또는 12월 파일럿) 첫 | 강사 관찰 메모가 「그때 어느 동의판·어느 급수였나」를 못 갖는다
design-a-4 | yuho | 첫 순간 담기 — 강사가 순간 폴더에 첫 사진을 | 학생 사진의 주인이 「그 강사」다 — 강사가 그만두면 사진이 같이 사라진다
design-a-5 | yuho | 저장 용량 벽 — 개원 첫해 안(문서 추정) | 저장 공간 15GB 벽에 «조용히» 닿는다 — 그날 사진이 안 올라간 것을 아무도 모른다
design-a-6 | yuho | 체험 첫날 — 2027-02-11 | 첫날 손글씨 이름표 — 그 아이가 자기 이름을 처음 쓰는 순간은 다시 안 온다
design-a-7 | yuho | 체험 첫날(2027-02-11) — 그 전에 리 | 체험 2주 동안 학생이 한 첫 선언이 앱에 안 들어간다 — 종이와 사진으로만 남는다
design-a-8 | person | 첫 이탈 — 개원(2027-02-25) 뒤 1~ | 아이가 그만둘 때 들은 말을 적을 자리가 아직 없다
design-a-9 | yuho | 첫 이탈·첫 졸업 — 그 전에 벽(슬리브 시공  | 떠나는 날 남기는 한 줄 — 벽이 없으면 그 학생의 마지막 말이 사라진다
design-a-10 | person | 첫 송출 — 채널 개설 → OAuth 게시 →  | 라디오 첫 방송 전에 재적 학생 전원의 채널 연결이 안 서면, 그 기간의 채팅·퀴즈가 엔진에 영영 안 간다
design-a-11 | machine | 첫 송출 — 학생이 !빗소리·!asmr 을 처음 | 라디오에서 「왜 그걸 골랐나」를 받는 칸이 명령 문법에 없으면 그 이유는 원장에도 안 남는다
design-a-12 | machine | 곡을 굽는 날 — 곡마다 그 순간(이미 곡 셋이 | 곡을 구울 때 «다시 굽는 명령»을 안 적으면 그 곡은 영영 그 파일 하나다
design-a-13 | machine | 재도전 화면 첫 출시 — 학생이 처음 「한 번  | 「한 번 더 하고 싶었나」를 세는 자가 재도전 버튼과 같은 날 안 서면 그 사이는 못 센다
design-a-14 | machine | 첫 서클 — 12월 파일럿(12-07~18) 또 | 「아침에 말한 목표, 오늘 해냈어요?」를 묻는 카드가 없으면 그날의 답은 영영 없다
design-a-15 | machine | 첫 생성 배치 — 생성 파이프라인이 실학생에게  | 과제를 «왜 그 학생에게 그것을 냈나»가 그날 안 박히면 나중에 못 되살린다
design-a-16 | machine | 첫 음성 수집 — 학생에게 미션 링크를 처음 뿌 | 목소리 폼이 실제로 연결됐는지 아무도 안 재봤다 — 안 연결돼 있으면 첫 녹음들이 아예 안 쌓인다
design-b-1 | machine | 서클 종이를 처음 굽는 날 (12월 파일럿 첫  | 아침에 기계가 «건» 목표를 그 순간 한 줄로 적어 두기
design-b-2 | machine | 첫 학생의 첫 나침반 답 뒤 첫 무대 되묻기 ( | 학생에게 «보여준» 장면 후보를 통째로 남기는 사건
design-b-3 | machine | 첫 과제 생성 (첫 실학생 데이터 · 파일럿 코 | 과제가 그 학생의 무대·목표를 실제로 썼는지, 만드는 순간에 적는 칸
design-b-4 | machine | 첫 실학생 데이터가 DB 에 들어가는 사건 (파 | 학생이 고른 것 옆에 「바꾸기 «전» 값」과 「물었나」를 남기는 두 칸
design-b-5 | machine | 첫 학생 등록 (명부스윕이 실학생을 처음 앱으로 | 학생 번호가 겹칠 때 조용히 삼키는 통로를 막고, 번호 «변경»을 기계가 거부하게 하기
design-b-6 | machine | 첫 학부모 문자 발송 (결석 알림 첫 건 · 개 | 학부모에게 보낸 문자의 링크를 «눌렀는지» 남기는 자리
design-b-7 | machine | 12월 파일럿 첫 차시 (2026-12-07) | 파일럿 열흘의 값을 담을 칸 셋 — 첫 차시에 안 서 있으면 그 차시 것은 없다
design-b-8 | machine | 12월 파일럿 첫 차시 (2026-12-07)  | 파일럿 매 차시가 끝난 5분 안에 「오늘 깨진 것」을 적는 자리
design-b-9 | person | 파일럿 종료일 (2026-12-19~20 · 판 | 파일럿이 끝나는 날 학부모 만족의 «출발선»을 한 번 재기
design-b-10 | machine | 지식층(E1) 첫 가동 — 봇이 지식 노트를 인 | 지식 노트를 인용할 때 «그때 읽은 내용의 지문»을 같이 찍기
gap-rights-clock-1 | yuho | 간판·광고 소재에 키릴 `СИНК` 를 처음 노 | 키릴 상표 `СИНК` 는 우선권 우산 «밖»이다 — 간판이 키릴을 벽에 새기는 날 남에게 문이 열린다
gap-rights-clock-2 | yuho | 몽골 IPOM 출원일 + 3개월 | 우선권 증명서류는 «몽골 출원 뒤 3개월» 안에 내야 한다 — 2027-02-11 과는 다른 두 번째 시계다
gap-rights-clock-3 | yuho | 임대차 계약 서명 | 임대차 계약서의 원상복구·렌트프리·보증금 조항은 서명하는 그 자리에서 굳는다
gap-rights-clock-4 | yuho | 임대차 계약 서명 | 시설 인허가 요건(소방·위생·건물 용도) 확인은 계약 «전»에만 값이 있다 — 저장소가 스스로 「비가역」이라 적어 뒀다
gap-rights-clock-5 | yuho | 2027-02-06 차강사르 시작(그 앞의 실질 | 개원 직전 나흘이 국경일(차강사르)로 통째로 죽는다 — 관공서 휴일은 돈으로 못 산다
gap-rights-clock-6 | yuho | 한국 법인 설립 또는 사업자등록을 내는 날(그  | 「예비창업자」는 한 번만 쓰는 자격이다 — 사업자등록이 하나 생기는 순간 2027-01~02 회차가 통째로 닫힌다
gap-rights-clock-7 | yuho | 2027-02 몽골 출국 | 2027-02 출국이 국내 지원 창구를 통째로 닫는다 — 그 뒤로는 신청할 «자격»이 없다
gap-rights-clock-8 | yuho | 2026-11-30 접수 마감 | 근로장려금 기한 후 신청 창구가 2026-11-30 에 닫힌다 — 지나면 그냥 0원이다
gap-rights-clock-9 | yuho | 2026-12-31 사업기간 종료 | 희망리턴패키지(폐업자 지원)의 사업기간이 2026-12-31 에 끝난다 — 이번 폐업으로 열린 문이 그날 닫힌다
gap-rights-clock-10 | yuho | 2026-12 첫 협약 체결 | 12월에 협약 하나에 도장을 찍으면 2027-01 회차 둘이 그 자리에서 배타된다
gap-rights-clock-11 | yuho | 법인 설립 → 민간자격 등록 신청(등록한 날이  | 민간자격 «국가공인»의 시계는 등록한 날에 시작한다 — 등록이 늦으면 공인이 그만큼 통째로 밀린다
gap-rights-clock-12 | yuho | 사전등록 첫 결제(2027-01-05 시작 예정 | 사전등록으로 첫 돈을 받는 순간, 그때 «공개돼 있던» 환불 규정이 그 계약의 규정으로 굳는다
gap-rights-clock-13 | yuho | 몽골 광고·전단·간판에 `synk.mn` 이 실 | `synk.mn` 도메인은 아직 남의 손이 닿는 곳에 있다 — 그런데 우리는 그 글자를 이미 뿌리는 중이다
gap-runbooks-1 | machine | 첫 수업일 — 12월 파일럿 첫 차시(2026- | 그날 출석·수업 기록을 자정 넘겨 적으면 기계가 그 줄을 «일부러» 버린다
gap-runbooks-2 | yuho | 개원 첫 시즌 첫 수업일 — 강사 등급 심사 첫 | 개원 첫 시즌 강사 등급 심사가 «출석 1탭» 하나로 통째로 꺼진다 — 그 시즌 배점표는 그 시즌에만 있다
gap-runbooks-3 | machine | 첫 수업일 — 첫 출석 1탭이 들어와야 할 날 | 「지금 안 쌓이고 있다」를 알려 주는 유일한 자가 사람이 메뉴를 눌러야만 깨어난다
gap-runbooks-4 | machine | 첫 수집 — 12월 파일럿 첫 차시(2026-1 | 첫 학생 전에 «손으로 한 번씩 눌러야만 열리는 문»이 실행지 다섯 곳에 흩어져 있고, 다 눌렀는지 세는 자가 없다
gap-runbooks-5 | machine | 첫 코호트 로스터가 시트에 들어온 직후(개원 무 | 런북이 「개원 무렵 1회 ▶」로 이름까지 못 박은 함수가 코드에 없고, 그 없음을 시험이 조용히 삼킨다
gap-runbooks-6 | machine | 첫 졸업생 소식이 들어오는 날(첫 퇴소·첫 합격 | 졸업생 소식을 옆 탭에 적으면 다음 날 아침에 조용히 사라진다 — 기계가 그 손을 안 막는다
gap-runbooks-7 | yuho | 첫 수업일 — 몸을 쓰는 활동이 처음 도는 날( | 학원 보험은 첫 학생이 교실에 서기 «전»에만 살 수 있다 — 사고 뒤에는 돈으로도 못 산다
gap-runbooks-8 | yuho | 첫 입소서류 서명 — 12월 파일럿 참가 서류가 | 환불 규정 문안이 아직 «확정 아님»인데, 첫 서명이 그 문안을 그 학생에게 영구히 굳힌다
gap-runbooks-9 | yuho | 11월 UB 방문(첫 발주) — 그날 정하지 못 | 11월 UB 방문 한 번이 개원 전 유일한 현지 창인데, 그날 납기를 못 박지 않으면 성수기가 첫 크루 몫을 먹는다
gap-runbooks-10 | yuho | 몽골 출국(2027-02) — 그 전 아무 날이 | 한국 세무 고지가 유호님에게 «닿는 통로»가 출국과 함께 닫힌다 — 남은 손일은 2클릭
gap-shift-1 | yuho | 첫 제자가 처음 프레임에 드는 날 — 설계는 「 | 첫 제자가 처음 카메라 앞에 서는 날 — 그 얼굴을 쓸 권리를 정하는 계약 셋이 아직 «미조사»다
gap-shift-2 | person | 첫 진단(등록 신청 전 · 지금 응시자 명단 0 | 등록 «전» 진단 두 번 — 「이 장면을 처음 보는 사람」은 한 사람당 한 번뿐이다
gap-shift-3 | machine | 첫 진단 응시자가 도입 화면의 [계속]을 누르는 | 등록 «전» 진단의 목소리·행동 기록을 덮는 규정이 없다 — 그 규정은 「등록한 날부터」 시행이라고 스스로 적는다
gap-shift-4 | yuho | 법인 설립 등기일 — 그 앞에 「해외 거주 대표 | 법인 설립일 하나가 자격 시계 전부를 정한다 — 「1년 + 검정 3회」는 돈으로 못 줄인다
gap-shift-5 | yuho | 첫 구독자 — 발행물이 이미 공개돼 있으므로 언 | 약관 동의 버튼이 안 눌린 채 첫 구독자가 들어오면 그 사람들은 환영 편지를 영영 못 받는다
gap-shift-6 | machine | 첫 사전등록(크루카드) — 개원 전 사전등록 창 | 원장 편지·대기 명단이 유입경로 여덟 칸에 없다 — 그 문으로 온 사람은 「기타」로 떨어진다
gap-shift-7 | machine | 첫 명단 신청 — Substack 첫 구독 또는 | 대기 명단의 문이 둘인데 「언제·어느 문으로 들어왔나」를 적는 자리가 없다 — 눈금이 「명단 수」 하나다
gap-shift-8 | machine | 첫 제자 채용 날(설치 주 0) — 그날 이후  | 첫 제자의 30일이 지점 키트의 유일한 검수인데 「어디서 막혔나」를 적는 자리가 없다
gap-shift-9 | machine | 첫 대외 공개물이 나가는 날 — 첫 유튜브 본편 | 「등록 전엔 자격·검정·시험이라 부르지 않는다」를 재는 기계가 0 — SHIFT 지면은 말투 가드의 대상 밖이다
gap-shift-10 | yuho | 이름표가 회수되는 날 — 예고가 없어서 사건을  | 텔레그램 이름표는 안 쓰면 조용히 풀린다 — 그 이름의 값이 「남이 못 쓰게」 하나인데 지켜보는 자가 없다
gap-unopened-1 | yuho | 임대차 계약 서명 (공간설계 §8-1 역산으로  | 「이 건물이 학원으로 될까」를 묻는 창은 임대차 계약에 서명하는 순간 닫힌다
gap-unopened-2 | yuho | 강사 구인 채널 접촉 착수 (달력 09-05)  | 「현지인 행정실장을 강사보다 먼저」라는 순서가 정해져 있는데, 그 사람을 언제부터 찾을지가 어느 문서에도 없다
gap-unopened-3 | yuho | 누군가 그 주소를 먼저 만드는 날 · 늦어도 채 | 텔레그램 채널 주소 `t.me/synkmn` 은 먼저 누른 사람이 갖는다 — 아직 아무도 안 눌렀고 되사올 수 없다
gap-unopened-4 | machine | 텔레그램 채널 개설 뒤 들어오는 첫 접수 · 라 | 「저희를 어떻게 아셨어요?」의 여덟 갈래에 텔레그램도 라디오도 없다 — 그 답들은 「기타」로 접혀 사라진다
gap-unopened-5 | machine | 12월 파일럿 모집 접수 · 사전등록 개통(20 | 접수 창구 어디에도 「학교 오전반이냐 오후반이냐」와 「원하는 수업 시간대」를 받는 칸이 없다
gap-unopened-6 | machine | 12월 파일럿 마지막 차시(12-18) 학부모  | 파일럿에서 「돈을 낼 생각이 있나」를 담는 그릇이 「처리상태」 한 칸인데, 그 값이 목록에 없고 다음 단계가 그 칸을 덮어쓴다
gap-unopened-7 | yuho | 얼리버드 가격 확정 마감(제안 2026-11-1 | 가격표가 11월 13일까지 안 정해지면, 12월 파일럿에서 「얼마면 낼까」는 영영 못 잰다
gap-unopened-8 | yuho | 「어느 법인으로 낼까」 유호 확정 마감(2026 | 폐업 절차서의 「되돌릴 수 없는 것 셋」에 Meta 인증 명의가 빠져 있다 — 폐업을 먼저 누르면 그 문이 닫힌다
gap-verdict-pages-1 | machine | 파일럿 1일차 첫 차시 (12월 파일럿 · 첫  | 0일차 사전 측정 회차가 없다 — 「AI 도입 전」 학생은 첫 주에만 존재한다
gap-verdict-pages-2 | machine | 파일럿 후측 채점일 (2주차 · 강사가 첫 답안 | 후측 채점이 가려지지 않아 강사가 «어느 팔인지 아는 채로» 매긴다
gap-verdict-pages-3 | machine | 파일럿 첫 첨삭 발행 (첫 학생이 첫 숙제를 내 | A/B 배정이 «학생 한 명 단위»로 고정돼 있지 않으면 두 팔의 대조가 죽는다
gap-verdict-pages-4 | machine | 첫 개입 발행 (첫 첨삭이 나가는 날 · 12월 | 개입 원장이 없다 — 「무엇을 줬나」가 그날 지나가면 안 남는다
gap-verdict-pages-5 | machine | 첫 맨몸 회차 (파일럿 1일차 · 위 0일차 사 | 「AI 끈 채로 낸 것」을 가르는 표식이 0 — 첫 회차부터 어느 행이 맨몸인지 못 가른다
gap-verdict-pages-6 | yuho | 파일럿 후측 회차 (2주차) · 그보다 앞선 벽 | 말하기 후측이 0 — 자격증명 한 칸이 파일럿의 «절반»을 막고 있다
gap-verdict-pages-7 | yuho | 배선(개입 원장·맨몸 회차·꿈 주입)이 서는 대 | 소급 불가 스키마가 «실값»을 받는지 검증할 행이 0 — 알파 학생 1명을 개원 전에 태우는 길
gap-verdict-pages-8 | machine | 첫 문법 도달 판정 행 (첫 숙제·첫 녹음·첫  | 문법 도달 원장의 「출처」가 한 칸이라 «글로는 되는데 말로는 안 되는» 자리가 뭉개진다
gap-verdict-pages-9 | machine | 첫 재발 (첫 도달 판정 몇 주 뒤 · 첫 시즌 | 도달 원장이 한 방향으로만 올라가서 「도달 뒤 다시 틀린 것」을 아무도 안 센다
gap-verdict-pages-10 | yuho | 12월 파일럿 시작 전 (2026-12-07 언 | 「무엇이 깨지면 개원을 미룰 것인가」를 파일럿 «전»에 안 정하면 그날은 못 미룬다
gap-verdict-pages-11 | yuho | 첫 코호트 등록 시작 (사전등록 01-05 ·  | 명품 눈금 셋의 목표 숫자를 «실제 숫자를 보기 전»에 못 박아야 한다
gap-verdict-pages-12 | yuho | 첫 학생이 우리 공간에 들어오는 날 — 개원(0 | 배상책임보험 — 학생이 다니기 시작한 뒤에 들면 그 사이 하루의 사고는 영영 무보험이다
gap-verdict-pages-13 | yuho | 크루 핸드북 시행일 — 강사 계약 발효 = 개원 | 레드라인 대체 접수처가 비어 있다 — 원장이 당사자인 첫 사건은 갈 곳이 0이다
gap-verdict-pages-14 | person | 12월 파일럿 강사 시연 1주차 (30분 × 2 | 강사 관문의 축이 「1회차 지적 → 2회차 개선폭」인데, 시연을 붙여 쓰면 그 축이 아예 없다
gap-verdict-pages-15 | yuho | 첫 수업 (12월 파일럿 첫 차시 · 그다음 개 | 강사 관찰을 「임시 다리」로 볼지 「사람 자리」로 볼지가 안 갈려서, 첫 시즌 관찰의 «해상도»가 미정이다
gap-verdict-pages-16 | machine | 학생이 앱을 처음 까는 날 (12월 파일럿 ·  | 크래시를 보는 눈이 빌드에 안 실려 있다 — 첫날 「0건」이 좋은 0인지 자가 없는 0인지 못 가른다
gap-verdict-pages-17 | person | 첫 녹음 (실기기 배포 뒤 첫 말하기 숙제 ·  | 머뭇거림을 재는 자(발화 문턱 −35dBFS)가 실기기로 안 맞춰졌다 — 첫 소리부터 그 자로 재진다
gap-verdict-pages-18 | yuho | 신청 마감 09-15 → 사전등록 개시 01-0 | Meta 사업자 인증을 «어느 법인으로» 낼지 — 반려되면 01-05 광고에 못 댄다
gap-verdict-pages-19 | yuho | 사전등록 개시 01-05 (그 앞 = 임대 계약 | 몽골 법인 사슬 2~3개월이 0단계 미착수 — 그 뒤에 선 셋(공간·파일럿·Meta)의 날짜는 고정이다
gap-verdict-pages-20 | machine | 첫 송출 (앱 자습 라디오 개통 · 학생 계정이 | 앱 자습 라디오를 «몇 시에 얼마나 켜 뒀나»가 사람 이해 축으로 가는 배선이 0건
inquisition-1 | machine | 첫 학생에게 확인 카드·목표 카드가 처음 나가는 | 「보여줬다」를 적는 자리가 없다 — 안 물은 날과 물었는데 답 없는 날이 같은 모양이다
inquisition-2 | machine | 첫 시즌 회고를 처음 저장하는 날 | 시즌 회고에 「못 쟀다」를 적을 칸이 없어, 못 잰 것이 「그대로였다」로 굳는다
inquisition-3 | machine | 첫 시즌 회고를 처음 저장하는 날 | 시즌 회고가 한 학생·한 시즌에 «한 행»이라, 고칠 때마다 그 전 판정이 지워진다
inquisition-4 | machine | 첫 시즌 회고를 처음 저장하는 날 | 「가까워졌나」와 「방향을 바꿨나」가 한 칸에 눌려 있어 둘 중 하나가 버려진다
inquisition-5 | machine | 첫 시즌 회고를 처음 저장하는 날 | 회고를 마친 뒤에도 나침반 답변을 고칠 수 있고, 회고가 그 답변 사본을 안 굳힌다
inquisition-6 | machine | 첫 학생 프로필이 서고 첫 밤 배치가 도는 날 | 학생이 스스로 적은 선언에 「언제 적었나」가 없고 「밤 배치가 돈 날」만 박힌다
inquisition-7 | machine | 학생이 앱에서 처음으로 무언가를 고르는 날 | 고르기 장부가 A→B 와 B→A 를 못 가르고, 안 물어본 것과 빈 답이 같은 모양이다
inquisition-8 | machine | 첫 학생에게 과제가 처음 생성되는 날 | 과제 초안에 학생 이름표가 없어, 남의 초안이 그 학생 기록으로 굳을 수 있다
inquisition-9 | machine | 첫 학생에게 과제가 처음 생성되는 날 | 되돌리는 한 걸음에서 사건의 «임자»까지 자유로워진다
inquisition-10 | machine | 지식 검색(RAG)을 켜서 AI 가 노트를 인용 | AI 가 답할 때 실린 지식 노트의 «그날 판»이 안 남는다
inquisition-11 | machine | 첫 아침 서클 — 목표 종이를 처음 인쇄해 나눠 | 아침 서클에서 학생이 «소리 내어 말한» 목표가 어디에도 안 남는다
inquisition-12 | machine | 저녁 목표 카드가 학생에게 처음 나가는 날 | 저녁 카드의 「아니다」 한 값에 뜻이 셋이라 첫날부터 판정이 섞인다
inquisition-13 | machine | 강사 모범 답안을 훈련 재료로 처음 승격하는 날 | 강사 모범 답안 표본에 「그때 동의를 받았나」가 안 박히고 지금 조회로 대신한다
inquisition-14 | machine | 학생 사진을 처음 모으는 날(첫 수업 사진 폴더 | 졸업할 때 건네겠다고 약속한 사진 「원본」이 학원에 안 남는다
inquisition-15 | person | 라디오를 처음 송출하는 날(채널 개설이 그 시계 | 첫 방송 때 앱 계정이 안 이어진 학생은 그날 채팅이 학습 기록으로 못 올라간다
inquisition-16 | yuho | 첫 졸업생이 나가는 날(받는 자리는 그 전 마지 | 졸업 뒤에도 닿을 주소를 재학 중에 안 받으면 그 학생과는 영영 끊긴다
inquisition-17 | machine | 첫 학생에게 번호가 발급되는 날 | 학생 번호를 바꾸는 것을 기계가 안 막는데, 바꾸면 옛 번호가 사라진다
inquisition-18 | machine | 첫 TOPIK 성적(공식이든 모의든)을 처음 적 | 공식 TOPIK 급수와 학원 자체 급수가 한 칸에 섞여 쌓이고 있다
inquisition-19 | machine | 첫 나침반·회고 답변을 처음 저장하는 날 | 회고 답변에 문항별 작성자가 없어 학생 원문과 강사가 옮겨 적은 말이 안 갈린다
inquisition-20 | machine | 강사가 처음으로 학생 글을 훈련 재료로 올리겠다 | 훈련 재료로 올렸다는 사건을 만드는 자가 아직 0이다
live-collection-1 | machine | 다음 학부모 DM 한 통 (봇이 이미 라이브에서 | 상담 봇이 그날 «무엇을 아는 채로» 답했는지가 안 남는다
live-collection-2 | machine | 다음 크루카드 제출 한 건 (공개 링크가 이미  | 동의를 받으면서 «어느 글에 동의했는지»를 안 적고 있다
live-collection-3 | machine | 다음 크루카드 제출 한 건 | 크루카드 103문항의 «그날 판»이 행에 안 박힌다
live-collection-4 | machine | 직장 경험 폼 첫 응답 (배포문 첫 판은 이미  | 직장 경험 폼 — 빈칸이 「문항이 없었다」인지 「안 골랐다」인지 못 가른다
live-collection-5 | machine | 첫 학생 녹음 (라이브 수집은 09-03 에 이 | 발음 녹음 — 본보기 소리를 듣고 한 것인지 아닌지가 안 남는다
live-collection-6 | machine | 첫 감수 회수 (감수자 모집이 라이브로 돌고 있 | 몽골어 감수 — 누가 언제 봤는지가 회수 시트에 없다
live-collection-7 | machine | 첫 송출 (채널은 09-01 에 섰고, 남은 것 | 라디오 — 「왜 그걸 골랐나」를 채팅 명령이 구조적으로 못 받는다
live-collection-8 | machine | 사전등록 창구 열림(2027-01-05) 전 — | 크루카드 추천인이 «이름 적는 자유 칸»이라 누가 누구를 데려왔는지 못 잇는다
memory-1 | yuho | 첫 학생 등록(= 12월 파일럿 코호트 2026 | 동의문 두 문장이 「영상·AI 학습·제3자 제공」을 한 낱말도 말하지 않는다
